name,calories,protein,fats,carbs,fiber,Ca(mg),Fe,Mg,P,K,Na,Zn,Cu,Mn,I(ug),Se,Mo,Vit D,Vit B6,Vit B12,Vit C
93/7 ground turkey,153,17.3,9.59,0,0,24,1.09,17.3,162,246,80,2.95,0.076,0.016,0,0,0,0,0,0,0
premier protien,47,8.8,0.88,0.88,0,191,0.529,25,161,53,73.5,0.82,0.04,0.1,0,2.3,2,1.7,0.1,0.14,6.7
raw brown rice,366,7.25,3.31,76.7,3,8,1.24,115,303,250,2.5,1.85,0.266,2.7,0,14.8,63.9,0,0.171,0,0
cooked quinoa,120,4.1,1.9,21.3,2.8,17,1.5,64,467,563,5,3.1,0.6,2.0,0,8.5,0,0,0.123,0,0
steel cut oats,381,12.5,5.8,69.8,12,51,3.8,129,417,376,2.5,2.84,0.411,3.41,0,29,164,0,0.119,0,0
rolled oats,382,13.5,5.89,68.7,10.4,46,4.34,126,387,350,1,2.74,0.428,3.23,0,25.4,160,0,0.135,0,0
sweet potato,79,1.58,0.38,17.3,4.44,22,0.4,19.1,37,486,2.5,0.34,0.187,0.417,0,2.5,2.5,0,0.124,0,14.8
russett potato,83,2.27,0.36,17.9,14.9,8,0.38,25.6,55,450,3,0.38,0.091,0.152,0,2.5,4.9,0,0.157,0,10.9
buckwheat,356,11.1,3.04,71.1,4,14,2.44,203,374,414,2.5,2.24,0.476,1.23,0,13.6,55.2,0,0.278,0,0
cornstarch,375,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keto flour,367,56,6.7,26.7,13.3,63,6.67,0,0,133,183,0,0,0,0,0,0,0,0,0,0
bread flour,366,13,0,76,1,15,5.55,35.9,124,127,3,1.06,0.194,0.751,0,33.3,36.6,0,0.079,0,0
bulgur,372,11.8,2.42,75.9,11.7,34,2.62,119,312,358,2,2.15,0.377,2.64,0,0,0,0,0.223,0,0
corn flour,376,7.56,4.34,76.7,7,112,1.7,93.3,241,277,16,1.62,0.13,0.413,0,0,0,0,0.229,0,0
einkorn,369,15.1,3.81,68.6,8.9,41,3.69,140,436,432,16,5.23,0.549,4.2,0,0,0,0,0.264,0,0
farro,367,12.6,3.1,72.1,7.3,26,3.2,119,368,385,1,3.97,0.47,2.6,0,0,0,0,0.235,0,0
00 flour,357,11.4,1.52,74.4,2.7,19,0.99,25.8,106,136,2.49,0.79,0.168,0.552,0,10.3,34.4,0,0.055,0,0
amaranth flour,384,13.2,6.24,68.8,7.2,135,7.56,233,425,396,2.5,3,0.518,2.3,0,21.1,35.1,0,0.387,0,0
barley flour,367,8.72,2.45,77.4,12.8,36,3.3,88,234,367,20,2.14,0.394,1.18,0,13.1,57.4,0,0.2,0,0
buckwheat flour,358,8.88,2.48,75,10.4,31,3.84,167,282,378,2.5,1.76,0.53,1.54,0,15.7,44.6,0,0.17,0,0
corn meal,364,6.2,1.74,80.8,4.3,0,4.44,30.1,92,144,0,0.62,0.082,0.172,0,8.3,16.4,0,0.13,0,0
oat flour,389,13.2,6.31,69.9,10.5,43,4,125,372,373,4,2.75,0.443,3.26,0,28.2,125,0,0.148,0,0
brown rice flour,365,7.19,3.85,75.5,0,10,1.5,124,319,265,1,1.91,0.286,2.84,0,9.7,56.2,0,0.132,0,0
glutinous rice flour,358,6.69,1.16,80.1,0,10,0.34,21.2,63,80,6,1.34,0.17,0.995,0,2,40.7,0,0.044,0,0
white rice flour,359,6.94,1.3,79.8,0.5,6,0.22,22.9,94,75,5,1.19,0.209,0.892,0,5.3,45.5,0,0.052,0,0
rye flour,359,8.4,1.91,77.2,13.7,32,2.54,95.4,280,434,2.5,2.33,0.338,2.13,0,16.6,75.5,0,0.164,0,0
coarse semolina flour,357,11.7,1.6,73.8,3.2,17,1.55,35.2,130,174,2.49,0.95,0.227,0.647,0,29.8,38.3,0,0.083,0,0
fine semolina flour,358,13.3,1.84,72,3.7,20,2.43,46.3,163,208,0,1.24,0.286,0.842,0,44.1,47.9,0,0.108,0,0
sorghum flour,375,8.27,3.59,77.4,6,11,3.72,116,262,335,2.5,1.66,0.237,1.08,0,12.4,48.2,0,0.166,0,0
spelt flour,364,14.5,2.54,70.7,9.3,30,3.77,124,362,350,2.48,3.59,0.531,2.94,0,9.5,91.9,0,0.236,0,0
